"","zipcode","ea","ea_name"
"1","01001",72,"Hartford-West Hartford-Willimantic, CT"
"2","01002",72,"Hartford-West Hartford-Willimantic, CT"
"3","01005",22,"Boston-Worcester-Manchester, MA-NH"
"4","01007",72,"Hartford-West Hartford-Willimantic, CT"
"5","01008",72,"Hartford-West Hartford-Willimantic, CT"
"6","01010",72,"Hartford-West Hartford-Willimantic, CT"
"7","01011",72,"Hartford-West Hartford-Willimantic, CT"
"8","01012",72,"Hartford-West Hartford-Willimantic, CT"
"9","01013",72,"Hartford-West Hartford-Willimantic, CT"
"10","01020",72,"Hartford-West Hartford-Willimantic, CT"
"11","01022",72,"Hartford-West Hartford-Willimantic, CT"
"12","01026",72,"Hartford-West Hartford-Willimantic, CT"
"13","01027",72,"Hartford-West Hartford-Willimantic, CT"
"14","01028",72,"Hartford-West Hartford-Willimantic, CT"
"15","01029",4,"Albany-Schenectady-Amsterdam, NY"
"16","01030",72,"Hartford-West Hartford-Willimantic, CT"
"17","01031",22,"Boston-Worcester-Manchester, MA-NH"
"18","01032",72,"Hartford-West Hartford-Willimantic, CT"
"19","01033",72,"Hartford-West Hartford-Willimantic, CT"
"20","01034",72,"Hartford-West Hartford-Willimantic, CT"
"21","01035",72,"Hartford-West Hartford-Willimantic, CT"
"22","01036",72,"Hartford-West Hartford-Willimantic, CT"
"23","01037",22,"Boston-Worcester-Manchester, MA-NH"
"24","01038",72,"Hartford-West Hartford-Willimantic, CT"
"25","01039",72,"Hartford-West Hartford-Willimantic, CT"
"26","01040",72,"Hartford-West Hartford-Willimantic, CT"
"27","01050",72,"Hartford-West Hartford-Willimantic, CT"
"28","01053",72,"Hartford-West Hartford-Willimantic, CT"
"29","01054",72,"Hartford-West Hartford-Willimantic, CT"
"30","01056",72,"Hartford-West Hartford-Willimantic, CT"
"31","01057",72,"Hartford-West Hartford-Willimantic, CT"
"32","01060",72,"Hartford-West Hartford-Willimantic, CT"
"33","01062",72,"Hartford-West Hartford-Willimantic, CT"
"34","01068",22,"Boston-Worcester-Manchester, MA-NH"
"35","01069",72,"Hartford-West Hartford-Willimantic, CT"
"36","01070",72,"Hartford-West Hartford-Willimantic, CT"
"37","01071",72,"Hartford-West Hartford-Willimantic, CT"
"38","01072",72,"Hartford-West Hartford-Willimantic, CT"
"39","01073",72,"Hartford-West Hartford-Willimantic, CT"
"40","01075",72,"Hartford-West Hartford-Willimantic, CT"
"41","01077",72,"Hartford-West Hartford-Willimantic, CT"
"42","01080",72,"Hartford-West Hartford-Willimantic, CT"
"43","01081",72,"Hartford-West Hartford-Willimantic, CT"
"44","01082",72,"Hartford-West Hartford-Willimantic, CT"
"45","01083",22,"Boston-Worcester-Manchester, MA-NH"
"46","01084",72,"Hartford-West Hartford-Willimantic, CT"
"47","01085",72,"Hartford-West Hartford-Willimantic, CT"
"48","01088",72,"Hartford-West Hartford-Willimantic, CT"
"49","01089",72,"Hartford-West Hartford-Willimantic, CT"
"50","01092",22,"Boston-Worcester-Manchester, MA-NH"
"51","01095",72,"Hartford-West Hartford-Willimantic, CT"
"52","01096",72,"Hartford-West Hartford-Willimantic, CT"
"53","01098",72,"Hartford-West Hartford-Willimantic, CT"
"54","01103",72,"Hartford-West Hartford-Willimantic, CT"
"55","01104",72,"Hartford-West Hartford-Willimantic, CT"
"56","01105",72,"Hartford-West Hartford-Willimantic, CT"
"57","01106",72,"Hartford-West Hartford-Willimantic, CT"
"58","01107",72,"Hartford-West Hartford-Willimantic, CT"
"59","01108",72,"Hartford-West Hartford-Willimantic, CT"
"60","01109",72,"Hartford-West Hartford-Willimantic, CT"
"61","01118",72,"Hartford-West Hartford-Willimantic, CT"
"62","01119",72,"Hartford-West Hartford-Willimantic, CT"
"63","01128",72,"Hartford-West Hartford-Willimantic, CT"
"64","01129",72,"Hartford-West Hartford-Willimantic, CT"
"65","01151",72,"Hartford-West Hartford-Willimantic, CT"
"66","01201",4,"Albany-Schenectady-Amsterdam, NY"
"67","01220",4,"Albany-Schenectady-Amsterdam, NY"
"68","01222",4,"Albany-Schenectady-Amsterdam, NY"
"69","01223",4,"Albany-Schenectady-Amsterdam, NY"
"70","01225",4,"Albany-Schenectady-Amsterdam, NY"
"71","01226",4,"Albany-Schenectady-Amsterdam, NY"
"72","01230",4,"Albany-Schenectady-Amsterdam, NY"
"73","01235",4,"Albany-Schenectady-Amsterdam, NY"
"74","01236",4,"Albany-Schenectady-Amsterdam, NY"
"75","01237",4,"Albany-Schenectady-Amsterdam, NY"
"76","01238",4,"Albany-Schenectady-Amsterdam, NY"
"77","01240",4,"Albany-Schenectady-Amsterdam, NY"
"78","01242",4,"Albany-Schenectady-Amsterdam, NY"
"79","01244",4,"Albany-Schenectady-Amsterdam, NY"
"80","01245",4,"Albany-Schenectady-Amsterdam, NY"
"81","01247",4,"Albany-Schenectady-Amsterdam, NY"
"82","01253",4,"Albany-Schenectady-Amsterdam, NY"
"83","01254",4,"Albany-Schenectady-Amsterdam, NY"
"84","01255",4,"Albany-Schenectady-Amsterdam, NY"
"85","01256",4,"Albany-Schenectady-Amsterdam, NY"
"86","01257",4,"Albany-Schenectady-Amsterdam, NY"
"87","01258",4,"Albany-Schenectady-Amsterdam, NY"
"88","01259",4,"Albany-Schenectady-Amsterdam, NY"
"89","01262",4,"Albany-Schenectady-Amsterdam, NY"
"90","01264",4,"Albany-Schenectady-Amsterdam, NY"
"91","01266",4,"Albany-Schenectady-Amsterdam, NY"
"92","01267",4,"Albany-Schenectady-Amsterdam, NY"
"93","01301",72,"Hartford-West Hartford-Willimantic, CT"
"94","01330",72,"Hartford-West Hartford-Willimantic, CT"
"95","01331",22,"Boston-Worcester-Manchester, MA-NH"
"96","01337",72,"Hartford-West Hartford-Willimantic, CT"
"97","01338",72,"Hartford-West Hartford-Willimantic, CT"
"98","01339",72,"Hartford-West Hartford-Willimantic, CT"
"99","01340",72,"Hartford-West Hartford-Willimantic, CT"
"100","01341",72,"Hartford-West Hartford-Willimantic, CT"
"101","01342",72,"Hartford-West Hartford-Willimantic, CT"
"102","01344",72,"Hartford-West Hartford-Willimantic, CT"
"103","01346",72,"Hartford-West Hartford-Willimantic, CT"
"104","01349",72,"Hartford-West Hartford-Willimantic, CT"
"105","01350",72,"Hartford-West Hartford-Willimantic, CT"
"106","01351",72,"Hartford-West Hartford-Willimantic, CT"
"107","01355",72,"Hartford-West Hartford-Willimantic, CT"
"108","01360",72,"Hartford-West Hartford-Willimantic, CT"
